# STATION_ID | OWNER | TTYPE | HULL | NAME | PAYLOAD | LOCATION | TIMEZONE | FORECAST | NOTE
#
41035|N|3-meter discus buoy|3D85|Onslow Bay Inner, NC|ARES payload|34.476 N 77.280 W (34&#176;28'34" N 77&#176;16'47" W)|E|FZUS52.KMHX |<p>The buoy at station 41035 has been recovered and dis-established as of 8/22/11. <br /></p>
41036|N|3-meter discus buoy|3D32|Onslow Bay Outer, NC||34.207 N 76.949 W (34&#176;12'25" N 76&#176;56'56" W)|E| |Station 41036 was disestablished 05/26/2015 due to loss of funding.			<p>Buoy Station 41036 will be removed from service effective January 2015.  For more information please see the NWS Service Change Notice at <br style="widows: 2; text-transform: none; background-color: rgb(255, 255, 255); text-indent: 0px; letter-spacing: normal; font-style: normal; font-variant: normal; font-weight: normal; font-size: 13px; line-height: normal; font-family: arial, sans-serif; white-space: normal; orphans: 2; color: rgb(34, 34, 34); word-spacing: 0px;" /></p><p><a href="https://www.weather.gov/media/notification/pdfs/scn14-62buoy41036.pdf">https://www.weather.gov/media/notification/pdfs/scn14-62buoy41036.pdf</a><br /></p><p>Station 41036 has been disestablished on 05/26/2015.<br /><br /><br /></p>
41037|CR|Moored Buoy||Wrightsville Beach Offshore, NC (ILM3)||33.988 N 77.362 W (33&#176;59'16" N 77&#176;21'42" W)|E|FZUS52.KILM FZNT22.KWBC|Right whales are active off NC from November to April. Speed restrictions of 10 knots apply to vessels 65 feet or greater within the vicinity of this station between November 1 and April 30. It is illegal to approach right whales within 500 yards. To learn more about right whales and rules protecting them, go to: <a href="http://www.nmfs.noaa.gov/pr/shipstrike">http://www.nmfs.noaa.gov/pr/shipstrike</a>
41038|CR|Moored Buoy||Wrightsville Beach Nearshore, NC (ILM2)||34.141 N 77.715 W (34&#176;8'27" N 77&#176;42'53" W)|E|FZUS52.KILM |Right whales are active off NC from November to April. Speed restrictions of 10 knots apply to vessels 65 feet or greater within the vicinity of this station between November 1 and April 30. To learn more about right whales and rules protecting them, go to: <a href="http://www.nmfs.noaa.gov/pr/shipstrike">http://www.nmfs.noaa.gov/pr/shipstrike</a>.<br> </br>Data from a nearby waverider buoy (41110) can be viewed <a title="41110" href="https://www.ndbc.noaa.gov/station_page.php?station=41110">here</a>.
41040|N|3-meter discus buoy|3D37|NORTH EQUATORIAL ONE- 470 NM East of Martinique|SCOOP payload|14.536 N 53.136 W (14&#176;32'9" N 53&#176;8'11" W)|N| |
41041|N|3-meter discus buoy|3D48|NORTH EQUATORIAL TWO - 890 NM East of Martinique |SCOOP payload|14.453 N 46.327 W (14&#176;27'12" N 46&#176;19'36" W)|?| |The buoy from station 41041 has been recovered as of 10/14/21.
41043|N|3-meter foam buoy|3DV36|NE PUERTO RICO - 170 NM NNE of San Juan, PR|SCOOP payload|21.026 N 64.793 W (21&#176;1'33" N 64&#176;47'36" W)|N|FZNT23.KNHC |
41044|N|3-meter discus buoy|3D70|NE ST MARTIN - 330 NM NE St Martin Is|SCOOP payload|21.582 N 58.630 W (21&#176;34'57" N 58&#176;37'48" W)|N|FZNT23.KNHC |
41046|N|3-meter foam buoy|3D74|EAST BAHAMAS - 335 NM East of San Salvador Is,  Bahamas |SCOOP payload|23.822 N 68.393 W (23&#176;49'18" N 68&#176;23'36" W)|E|FZNT23.KNHC |
41047|N|3-meter foam buoy|3DV42|NE BAHAMAS - 350 NM ENE of Nassau, Bahamas|SCOOP payload|27.465 N 71.452 W (27&#176;27'55" N 71&#176;27'6" W)|E|FZNT23.KNHC |
41048|N|3-meter foam buoy||WEST BERMUDA - 240 NM West of Bermuda|SCOOP payload|31.831 N 69.573 W (31&#176;49'53" N 69&#176;34'23" W)|E| |Buoy recovered 4/29/24.
41049|N|3-meter foam buoy|3DV25|SOUTH BERMUDA - 300 NM SSE of Bermuda|SCOOP payload|27.505 N 62.271 W (27&#176;30'17" N 62&#176;16'14" W)|?| |
41051|CI|Moored Buoy||South of St. Thomas, VI||18.257 N 65.004 W (18&#176;15'26" N 65&#176;0'14" W)|?|FZCA52.TJSJ |
41052|CI|Moored Buoy||South of St. John, VI||18.249 N 64.763 W (18&#176;14'56" N 64&#176;45'48" W)|N|FZCA52.TJSJ |
41053|CI|Moored Buoy||San Juan, PR||18.474 N 66.099 W (18&#176;28'27" N 66&#176;5'58" W)|N|FZCA52.TJSJ |
41056|CI|Moored Buoy||Vieques Island, PR||18.261 N 65.464 W (18&#176;15'40" N 65&#176;27'51" W)|N|FZCA52.TJSJ |
41057|IC|Moored Buoy||Puerto Plata, DO||19.833 N 70.731 W (19&#176;50'0" N 70&#176;43'52" W)|N| |
41058|CI|Moored Buoy||North of St. Thomas, VI||18.476 N 65.157 W (18&#176;28'34" N 65&#176;9'25" W)|?|FZCA52.TJSJ |
41060|WH|2.4-meter discus buoy||Woods Hole Northwest Tropical Atlantic Wave Station|WAMDAS payload|14.824 N 51.017 W (14&#176;49'28" N 51&#176;1'0" W)|?| |MET data from this station is available at <a title="41nt0" href="http://www.ndbc.noaa.gov/station_page.php?station=41nt0"> 41NT0</a>.
41061|WH|2.4-meter discus buoy||Woods Hole SPURS Wave Station||24.581 N 38.000 W (24&#176;34'52" N 38&#176;0'0" W)|?| |Station 41061 has been recovered.
41062|UB|Buoy||Hatteras Bay (B1)||35.778 N 75.095 W (35&#176;46'42" N 75&#176;5'41" W)|E|FZNT22.KWBC |Right whales are active off NC from November to April. Speed restrictions of 10 knots apply to vessels 65 feet or greater in specific areas and times along the mid-Atlantic coast. To learn more about right whales and rules protecting them, go to: <a href="http://www.nmfs.noaa.gov/pr/shipstrike/">http://www.nmfs.noaa.gov/pr/shipstrike/</a><a href="http://www.nmfs.noaa.gov/pr/shipstrike/"></a>		Station was recovered 11/20/18.
41063|UB|Buoy||Raleigh Bay (B2)||34.782 N 75.941 W (34&#176;46'56" N 75&#176;56'28" W)|E|FZUS52.KMHX |Right whales are active off NC from November to April. Speed restrictions of 10 knots apply to vessels 65 feet or greater in specific areas and times along the mid-Atlantic coast. To learn more about right whales and rules protecting them, go to: <a href="http://www.nmfs.noaa.gov/pr/shipstrike/">http://www.nmfs.noaa.gov/pr/shipstrike/</a>Station was recovered 11/21/18.
41064|CR|Moored Buoy||Onslow Bay Outer, NC (LEJ3)||34.207 N 76.949 W (34&#176;12'26" N 76&#176;56'56" W)|E|FZUS52.KMHX FZNT22.KWBC|Right whales are active off NC from November to April. Speed restrictions of 10 knots apply to vessels 65 feet or greater in specific areas and times along the mid-Atlantic coast. To learn more about right whales and rules protecting them, go to: <a href="http://www.nmfs.noaa.gov/pr/shipstrike/">http://www.nmfs.noaa.gov/pr/shipstrike/</a><br /><br /> Data from a nearby waverider buoy (41159) can be viewed <a title="41159" href="https://www.ndbc.noaa.gov/station_page.php?station=41159">here</a>.
41065|CR|Moored Buoy||Capers Nearshore Waves (CAP2WAVE)||32.802 N 79.619 W (32&#176;48'6" N 79&#176;37'8" W)|E|FZUS52.KCHS |Right whales are active off SC from November to April. Speed restrictions of 10 knots apply to vessels 65 feet or greater within the vicinity of this station between November 1 and April 30. It is illegal to approach right whales within 500 yards. To learn more about right whales and rules protecting them, go to: <a href="http://www.nmfs.noaa.gov/pr/shipstrike">http://www.nmfs.noaa.gov/pr/shipstrike</a></p>Meteorological data from this station (41029) can be viewed <a title="41029" href="https://www.ndbc.noaa.gov/station_page.php?station=41029">here</a>.
41066|CR|Moored Buoy||CHR60||32.536 N 79.656 W (32&#176;32'10" N 79&#176;39'21" W)|E| |Right whales are active off SC from November to April. Speed restrictions of 10 knots apply to vessels 65 feet or greater within the vicinity of this station between November 1 and April 30. It is illegal to approach right whales within 500 yards. To learn more about right whales and rules protecting them, go to: <a href="http://www.nmfs.noaa.gov/pr/shipstrike">http://www.nmfs.noaa.gov/pr/shipstrike</a></p>Wave data from this buoy (41076) can be viewed <a title="41076" href="https://www.ndbc.noaa.gov/station_page.php?station=41076">here</a>.
41067|CR|Moored Buoy||FRP2WAVE||32.276 N 80.406 W (32&#176;16'32" N 80&#176;24'22" W)|E| |Right whales are active off SC from November to April. Speed restrictions of 10 knots apply to vessels 65 feet or greater within the vicinity of this station between November 1 and April 30. It is illegal to approach right whales within 500 yards. To learn more about right whales and rules protecting them, go to: <a href="http://www.nmfs.noaa.gov/pr/shipstrike">http://www.nmfs.noaa.gov/pr/shipstrike</a></p>Meteorological data from this station (41033) can be viewed <a title="41033" href="https://www.ndbc.noaa.gov/station_page.php?station=41033">here</a>.
41068|CR|Moored Buoy||Fort Pierce, FL (FTP)||27.593 N 80.189 W (27&#176;35'36" N 80&#176;11'22" W)|E|FZUS52.KMLB |Going to Oculina Bank? Please review <a href="/ndbcexit.php?url=https://safmc.net/regulations/" shape="rect">Oculina fishing regulations</a>.
41069|CR|Moored Buoy||Ponce de Leon Inlet, FL (PNC)||29.289 N 80.803 W (29&#176;17'20" N 80&#176;48'10" W)|E|FZUS52.KMLB |Right whales are active off FL from November to April. Speed restrictions of 10 knots apply to vessels 65 feet or greater in specific areas and times along the U.S. East Coast.  It is illegal to approach right whales within 500 yards. To learn more about right whales and rules protecting them, go to: <a href="http://www.nmfs.noaa.gov/pr/shipstrike">http://www.nmfs.noaa.gov/pr/shipstrike</a></p>Wave data from this station (41070) can be viewed <a title="41070" href="https://www.ndbc.noaa.gov/station_page.php?station=41070">here</a>.
41070|CR|Moored Buoy||Ponce de Leon Inlet Waves (PNCWAVE)||29.289 N 80.803 W (29&#176;17'20" N 80&#176;48'10" W)|E|FZUS52.KMLB |Right whales are active off SC from November to April. Speed restrictions of 10 knots apply to vessels 65 feet or greater within the vicinity of this station between November 1 and April 30. It is illegal to approach right whales within 500 yards. To learn more about right whales and rules protecting them, go to: <a href="http://www.nmfs.noaa.gov/pr/shipstrike">http://www.nmfs.noaa.gov/pr/shipstrike</a></p>Meteorological data from this station (41069) can be viewed <a title="41069" href="https://www.ndbc.noaa.gov/station_page.php?station=41069">here</a>.
41076|CR|Moored Buoy||CHR60WAVE||32.536 N 79.659 W (32&#176;32'11" N 79&#176;39'32" W)|E| |Right whales are active off SC from November to April. Speed restrictions of 10 knots apply to vessels 65 feet or greater within the vicinity of this station between November 1 and April 30. It is illegal to approach right whales within 500 yards. To learn more about right whales and rules protecting them, go to: <a href="http://www.nmfs.noaa.gov/pr/shipstrike">http://www.nmfs.noaa.gov/pr/shipstrike</a></p>Meteorological data from this buoy (41066) can be viewed <a title="41066" href="https://www.ndbc.noaa.gov/station_page.php?station=41066">here</a>.
41082|OO|Moored Buoy||OOI Pioneer - Mid-Atlantic Bight Central Surface Mooring||35.950 N 75.125 W (35&#176;57'0" N 75&#176;7'30" W)|E| |
41083|OO|Moored Buoy||OOI Mid-Atlantic Bright Southern Surface Mooring||35.725 N 74.853 W (35&#176;43'30" N 74&#176;51'11" W)|E| |
41096|F|Buoy||North of Guadeloupe||16.533 N 61.404 W (16&#176;31'59" N 61&#176;24'14" W)|N| |
41097|F|Buoy||Fort-de-France, Martinique||14.480 N 61.096 W (14&#176;28'48" N 61&#176;5'46" W)|?| |
41098|F|Buoy||North of Martinique||14.894 N 61.113 W (14&#176;53'38" N 61&#176;6'47" W)|?| |
41100|F|Buoy||East of Guadeloupe||15.900 N 57.883 W (15&#176;54'0" N 57&#176;53'0" W)|?| |
41101|F|Buoy||East of Martinique||14.600 N 56.201 W (14&#176;36'0" N 56&#176;12'2" W)|?| |
41108|R|Waverider Buoy||Wilmington Harbor, NC - (200)||33.721 N 78.016 W (33&#176;43'15" N 78&#176;0'59" W)|E|FZUS52.KILM |Right whales are active off NC from November to April. Speed restrictions of 10 knots apply to vessels 65 feet or greater within the vicinity of this station between November 1 and April 30. To learn more about right whales and rules protecting them, go to: <a href="http://www.nmfs.noaa.gov/pr/shipstrike">http://www.nmfs.noaa.gov/pr/shipstrike</a>
41109|R|Waverider Buoy||New River Inlet, NC - (190)||34.484 N 77.300 W (34&#176;29'1" N 77&#176;18'0" W)|E| |Right whales are active off NC from November to April. Speed restrictions of 10 knots apply to vessels 65 feet or greater in specific areas and times along the mid-Atlantic coast. To learn more about right whales and rules protecting them, go to: <a href="http://www.nmfs.noaa.gov/pr/shipstrike/">http://www.nmfs.noaa.gov/pr/shipstrike/</a><br />
41110|CR|Waverider Buoy||Masonboro Inlet, ILM2, NC (150)||34.142 N 77.715 W (34&#176;8'30" N 77&#176;42'53" W)|E|FZUS52.KILM |Right whales are active off NC from November to April. Speed restrictions of 10 knots apply to vessels 65 feet or greater within the vicinity of this station between November 1 and April 30. To learn more about right whales and rules protecting them, go to: <a href="http://www.nmfs.noaa.gov/pr/shipstrike">http://www.nmfs.noaa.gov/pr/shipstrike</a>.<br> </br>Data from a nearby buoy (41038) can be viewed <a title="41038" href="https://www.ndbc.noaa.gov/station_page.php?station=41038">here</a>.
41112|R|Waverider Buoy||Offshore Fernandina Beach, FL (132)||30.709 N 81.292 W (30&#176;42'33" N 81&#176;17'32" W)|E|FZUS52.KJAX |Right whales are active off FL from November to April. Speed restrictions of 10 knots apply to vessels 65 feet or greater in specific areas and times along the U.S. East Coast.  It is illegal to approach right whales within 500 yards.  To learn more about right whales and rules protecting them, go to: <a href="http://www.nmfs.noaa.gov/pr/shipstrike">http://www.nmfs.noaa.gov/pr/shipstrike</a>.<br />
41113|R|Waverider Buoy||Cape Canaveral Nearshore, FL (143)||28.400 N 80.533 W (28&#176;24'0" N 80&#176;32'0" W)|E|FZUS52.KMLB |Right whales are active off FL from November to April. Speed restrictions of 10 knots apply to vessels 65 feet or greater in specific areas and times along the U.S. East Coast.  It is illegal to approach right whales within 500 yards.  To learn more about right whales and rules protecting them, go to: <a href="http://www.nmfs.noaa.gov/pr/shipstrike">http://www.nmfs.noaa.gov/pr/shipstrike</a>.<br />
41114|R|Waverider Buoy||Fort Pierce, FL (134)||27.552 N 80.216 W (27&#176;33'6" N 80&#176;12'58" W)|E|FZUS52.KMLB |Going to Oculina Bank? Please review <a href="/ndbcexit.php?url=https://safmc.net/regulations/" shape="rect">Oculina fishing regulations</a>.
41115|CI|Waverider Buoy||Rincon, Puerto Rico (181)||18.376 N 67.280 W (18&#176;22'35" N 67&#176;16'48" W)|N|FZCA52.TJSJ |
41116|R|Waverider Buoy||Oculina Bank North, FL (227)||28.523 N 80.188 W (28&#176;31'22" N 80&#176;11'16" W)|E|FZUS52.KMLB |Right whales are active off FL from November to April. Speed restrictions of 10 knots apply to vessels 65 feet or greater in specific areas and times along the U.S. East Coast.  It is illegal to approach right whales within 500 yards.  To learn more about right whales and rules protecting them, go to: <a href="http://www.nmfs.noaa.gov/pr/shipstrike">http://www.nmfs.noaa.gov/pr/shipstrike</a>.<br /><br />
41117|AC|Waverider Buoy||St. Augustine, FL (194)||29.999 N 81.079 W (29&#176;59'56" N 81&#176;4'46" W)|E|FZUS52.KJAX |Right whales are active off FL from November to April. Speed restrictions of 10 knots apply to vessels 65 feet or greater in specific areas and times along the U.S. East Coast.  It is illegal to approach right whales within 500 yards.  To learn more about right whales and rules protecting them, go to: <a href="http://www.nmfs.noaa.gov/pr/shipstrike">http://www.nmfs.noaa.gov/pr/shipstrike</a>
41118|R|Waverider Buoy||Chester Shoal, FL (228)||28.609 N 80.590 W (28&#176;36'32" N 80&#176;35'24" W)|E|FZUS52.KMLB |
41119|CR|Waverider Buoy||Sunset Beach, NC - (245)||33.842 N 78.483 W (33&#176;50'30" N 78&#176;29'0" W)|E|FZUS52.KMHX FZNT22.KWBC|Right whales are active off NC from November to April. Speed restrictions of 10 knots apply to vessels 65 feet or greater in specific areas and times along the mid-Atlantic coast. To learn more about right whales and rules protecting them, go to: <a href="http://www.nmfs.noaa.gov/pr/shipstrike/">http://www.nmfs.noaa.gov/pr/shipstrike/</a><br /><br /> Data from a nearby buoy (41024) can be viewed <a title="41064" style="font-size: 9pt;" href="http://www.ndbc.noaa.gov/station_page.php?station=41024">here</a>.
41120|R|Waverider Buoy||Cape Hatteras East, NC (250)||35.258 N 75.285 W (35&#176;15'29" N 75&#176;17'6" W)|E| |
41121|CI|Waverider Buoy||Arecibo, Puerto Rico (249)||18.490 N 66.701 W (18&#176;29'24" N 66&#176;42'2" W)|N|FZCA52.TJSJ |
41122|R|Waverider Buoy||Hollywood Beach, FL (265)||26.001 N 80.096 W (26&#176;0'4" N 80&#176;5'46" W)|E|FZUS52.KMFL |
41139|PR|Atlas Buoy||||20.000 N 38.000 W (20&#176;0'0" N 38&#176;0'0" W)|| |
41140|R|Waverider Buoy||Christiansted, St. Croix, Virgin Islands||17.769 N 64.723 W (17&#176;46'7" N 64&#176;43'24" W)|N| |Station 41140 was disestablished November 2, 2010.&nbsp;Use the "Observations from Nearby Stations and Ships" below to see a listing of nearest stations.&nbsp; The historical data will remain available.&nbsp; The station page is accessible via our historical map, or you can always just put in the station ID in the Station ID Search Box.
41141|R|Waverider Buoy||Fareham, St. Croix, Virgin Islands||17.684 N 64.635 W (17&#176;41'2" N 64&#176;38'6" W)|N| |Station 41141 was disestablished April 13, 2011.&nbsp;Use the "Observations from Nearby Stations and Ships" below to see a listing of nearest stations.&nbsp; The historical data will remain available.&nbsp; The station page is accessible via our historical map, or you can always just put in the station ID in the Station ID Search Box.
41159|CR|Waverider Buoy||Onslow Bay Outer, NC (217)||34.213 N 76.949 W (34&#176;12'45" N 76&#176;56'56" W)|E|FZUS52.KMHX FZNT22.KWBC|Right whales are active off NC from November to April. Speed restrictions of 10 knots apply to vessels 65 feet or greater in specific areas and times along the mid-Atlantic coast. To learn more about right whales and rules protecting them, go to: <a href="http://www.nmfs.noaa.gov/pr/shipstrike/">http://www.nmfs.noaa.gov/pr/shipstrike/</a><br /><br /> Data from a nearby buoy (41064) can be viewed <a title="41064" style="font-size: 9pt;" href="https://www.ndbc.noaa.gov/station_page.php?station=41064">here</a>.
41193|DC|Offshore Buoy||Puerto Bolivar, Colombia||12.351 N 72.218 W (12&#176;21'4" N 72&#176;13'4" W)|E| |
41194|DC|Offshore Buoy||Barranquilla, Colombia||11.161 N 74.681 W (11&#176;9'41" N 74&#176;40'51" W)|E| |
41300|F|||West Indies||15.850 N 57.467 W (15&#176;51'0" N 57&#176;28'0" W)|N| |
41420|N|2.6-meter discus buoy|2.6D98|NORTH SANTO DOMINGO - 328NM NNE of Santo Domingo, DO|DART II payload|23.375 N 67.345 W (23&#176;22'30" N 67&#176;20'42" W)|?| |As of 0000z, 5/3/24, the buoy at station 41420 has gone adrift. The latest position for the buoy can be viewed <a href="http://www.ndbc.noaa.gov/nws_special/41420.txt" target="_blank">here.</a>
41421|N|2.6-meter discus buoy|2.6D97|NORTH ST THOMAS - 300 NM North of St Thomas, Virgin Is|DART II payload|23.368 N 63.882 W (23&#176;22'5" N 63&#176;52'56" W)|?| |
41424|N|2.6-meter discus buoy||EAST CHARLESTON - 370 NM East of Charleston, SC|DART II payload|33.000 N 72.660 W (33&#176;0'0" N 72&#176;39'36" W)|?| |Station 41424 has been replaced in the operational DART array by <a href="http://www.ndbc.noaa.gov/station_page.php?station=41425">41425</a>.
41425|N|2.6 meter DART buoy|2.6D06|SOUTHWEST BERMUDA - 200 NM SSW of Hamilton, Bermuda|DART II payload|28.673 N 65.617 W (28&#176;40'24" N 65&#176;37'1" W)|?| |
41554|AO|Drifting Buoy||||18.078 N 64.743 W (18&#176;4'42" N 64&#176;44'36" W)|?| |
41670|AO|Drifting Buoy||||24.710 N 28.420 W (24&#176;42'36" N 28&#176;25'12" W)|?| |
41852|AO|Drifting Buoy||||23.240 N 24.020 W (23&#176;14'24" N 24&#176;1'12" W)|?| |
41904|AO|Drifting Buoy||||3.017 N 90.900 E (3&#176;1'0" N 90&#176;54'0" E)|?| |
41933|AO|Drifting Buoy||||44.950 N 12.800 W (44&#176;57'0" N 12&#176;48'0" W)|?| |
41a46|N|6-meter NOMAD buoy|6N49|EAST BAHAMAS - 335 NM East of San Salvador Is, Bahamas backup|ARES payload|23.838 N 68.333 W (23&#176;50'17" N 68&#176;19'59" W)|E|FZNT02.KNHC |
41b41|N|6-meter NOMAD buoy|6N58|NORTH EQUATORIAL TWO - 890 NM East of Martinique |ARES payload|14.329 N 46.082 W (14&#176;19'43" N 46&#176;4'55" W)|?|FZNT02.KNHC |Station 41B41 went adrift on 04/15/14 and has been recovered to port on 07/02/14.<br />
41d20|N|2.6 meter DART buoy|2.6D59|Adrift from 41420||23.508 N 67.287 W (23&#176;30'30" N 67&#176;17'12" W)|N| |2.6D59 went adrift from station 41420 at 6/2/17. It has been renamed 41D20 for tracking purposes and is now aground on Harbour Island, Bahamas.
